"Location ID","Location Name","Location Group","Location Type","Sensor ID","Place Open","Local Date/Time","UTC Date/Time","# of aggregated records","PM2.5 (μg/m³) raw","PM2.5 (μg/m³) corrected","0.3μm particle count","CO2 (ppm) raw","CO2 (ppm) corrected","Temperature (°C) raw","Temperature (°C) corrected","Heat Index (°C)","Humidity (%) raw","Humidity (%) corrected","TVOC (ppb)","TVOC index","NOX index","PM1 (μg/m³)","PM10 (μg/m³)"
67284,"Indoor คลองเตยล็อค6 (Khong tei Lock6)",,"Indoor","airgradient:744dbdbfdaac",false,"2025-09-17 09:15:00","2025-09-17T02:15:00.000Z",1,33.8,33.8,4617,496,496,29.6,29.6,36.4,80,80,104,110,1,22.3,37.5
67284,"Indoor คลองเตยล็อค6 (Khong tei Lock6)",,"Indoor","airgradient:744dbdbfdaac",false,"2025-09-17 09:10:00","2025-09-17T02:10:00.000Z",2,25.3,25.3,3262,503,503,29.5,29.5,36.1,80,80,94,100,1,17.8,26.6
67284,"Indoor คลองเตยล็อค6 (Khong tei Lock6)",,"Indoor","airgradient:744dbdbfdaac",false,"2025-09-17 09:05:00","2025-09-17T02:05:00.000Z",2,25.3,25.3,3552,505,505,29.5,29.5,36,80,80,94,100,1,19.2,25.8
67284,"Indoor คลองเตยล็อค6 (Khong tei Lock6)",,"Indoor","airgradient:744dbdbfdaac",false,"2025-09-17 09:00:00","2025-09-17T02:00:00.000Z",1,25,25,3341,484,484,29.4,29.4,36,80,80,92,98,1,17.9,25
67284,"Indoor คลองเตยล็อค6 (Khong tei Lock6)",,"Indoor","airgradient:744dbdbfdaac",false,"2025-09-17 08:55:00","2025-09-17T01:55:00.000Z",2,30.3,30.3,3907,440,440,29.4,29.4,35.9,80,80,93,98,1,20.8,31.3
67284,"Indoor คลองเตยล็อค6 (Khong tei Lock6)",,"Indoor","airgradient:744dbdbfdaac",false,"2025-09-17 08:50:00","2025-09-17T01:50:00.000Z",2,32.7,32.7,4408,434,434,29.3,29.3,35.6,80,80,94,100,1,22.3,35.9
67284,"Indoor คลองเตยล็อค6 (Khong tei Lock6)",,"Indoor","airgradient:744dbdbfdaac",false,"2025-09-17 08:45:00","2025-09-17T01:45:00.000Z",1,32.5,32.5,4541,439,439,29.3,29.3,35.6,80,80,95,101,1,23,34.9
67284,"Indoor คลองเตยล็อค6 (Khong tei Lock6)",,"Indoor","airgradient:744dbdbfdaac",false,"2025-09-17 08:40:00","2025-09-17T01:40:00.000Z",2,33.9,33.9,4438,446,446,29.3,29.3,35.7,80,80,93,99,1,22.3,38.3
67284,"Indoor คลองเตยล็อค6 (Khong tei Lock6)",,"Indoor","airgradient:744dbdbfdaac",false,"2025-09-17 08:35:00","2025-09-17T01:35:00.000Z",2,35.3,35.3,4841,456,456,29.3,29.3,35.6,80,80,53,52,1,23.5,40.9
67284,"Indoor คลองเตยล็อค6 (Khong tei Lock6)",,"Indoor","airgradient:744dbdbfdaac",false,"2025-09-17 08:25:00","2025-09-17T01:25:00.000Z",2,36.2,36.2,5118,484,484,29.2,29.2,35.3,81,81,93,99,1,24.4,42.6
